S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
162,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,AI23631,Predictive and Prescriptive Analytics,3,0,2,4,5,LOT,,Artificial Intelligence and Machine Learning
163,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,AI23632,Foundations of Natural Language Processing,3,0,2,4,5,LOT,,Artificial Intelligence and Machine Learning
164,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,AI23633,Design Thinking for Innovation in Machine Learning,1,0,2,2,3,LOT,Project Hour,Artificial Intelligence and Machine Learning
165,2023,3,6,EVEN,Artificial Intelligence and Machine Learning,GE23622,Problem Solving Techniques,0,0,2,1,2,Laboratory,,Placement
167,2023,4,7,ODD,Artificial Intelligence and Machine Learning,AIPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,Computer Lab,Artificial Intelligence and Machine Learning
168,2023,4,7,ODD,Artificial Intelligence and Machine Learning,AI23711,Social and Ethical Issues in AI,1,0,0,1,1,Theory,,Artificial Intelligence and Machine Learning
169,2023,4,7,ODD,Artificial Intelligence and Machine Learning,AI23712,Reinforcement Learning,3,0,0,3,3,Theory,,Artificial Intelligence and Machine Learning
170,2023,4,7,ODD,Artificial Intelligence and Machine Learning,IT23731,Cloud and Big data Architecture,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Machine Learning
171,2023,4,7,ODD,Artificial Intelligence and Machine Learning,AI23721,Project Work (Phase - I),0,0,8,4,8,Laboratory,Project Hour,Artificial Intelligence and Machine Learning
173,2023,4,8,EVEN,Artificial Intelligence and Machine Learning,AIPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Machine Learning
174,2023,4,8,EVEN,Artificial Intelligence and Machine Learning,AIPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Artificial Intelligence and Machine Learning
175,2023,4,8,EVEN,Artificial Intelligence and Machine Learning,AI23821,Project Work (Phase - II),0,0,12,6,12,Laboratory,Project Hour,Artificial Intelligence and Machine Learning
176,2023,1,1,ODD,Automobile Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
177,2023,1,1,ODD,Automobile Engineering,MA23112,Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
178,2023,1,1,ODD,Automobile Engineering,GE23111,Engineering Graphics,2,0,4,4,6,Theory,,Automobile Engineering
179,2023,1,1,ODD,Automobile Engineering,AT23111,Production Technology - I,3,0,0,3,3,Theory,,Automobile Engineering
180,2023,1,1,ODD,Automobile Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Automobile Engineering
181,2023,1,1,ODD,Automobile Engineering,PH23131,Physics of Materials,3,0,2,4,5,LOT,Physics Lab,Physics
182,2023,1,1,ODD,Automobile Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Automobile Engineering
183,2023,1,1,ODD,Automobile Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
185,2023,1,2,EVEN,Automobile Engineering,MA23212,Differential Equations and Complex Variables,3,1,0,4,4,Theory,,Mathematics
186,2023,1,2,EVEN,Automobile Engineering,GE23211,Engineering Mechanics,2,1,0,3,3,Theory,,Automobile Engineering
187,2023,1,2,EVEN,Automobile Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Automobile Engineering
188,2023,1,2,EVEN,Automobile Engineering,CY23223,Engineering Chemistry ,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
189,2023,1,2,EVEN,Automobile Engineering,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
190,2023,1,2,EVEN,Automobile Engineering,GE23231,Programming Using Python,1,0,4,3,5,LOT,Auto CAD Lab,Automobile Engineering
191,2023,1,2,EVEN,Automobile Engineering,HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Laboratory,,English
192,2023,1,2,EVEN,Automobile Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
193,2023,1,2,EVEN,Automobile Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,English
194,2023,2,3,ODD,Automobile Engineering,MA23331,Transforms and Statistics,3,0,2,4,5,LOT,Computer Lab,Automobile Engineering
